Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,What is your stress level (0-100)?,"You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
3/16/2021 14:37:20,Master Tax Law - Tax and Technology,yes,0,mu,ja,male,neither,july 6,2,no,85,50,8,22.15,Having completed a set task.,Happy people
3/24/2021 17:28:48,AI,no,0,sigma,nee,male,I have no idea what you are talking about,December 7,0,no,0,100,3,10,Coffee,Sun
3/25/2021 12:31:29,DMT,no,0,mu,nee,male,fat,23 September 1997,4,no,40,5,33,00:00,Be Happy,Having a very productive day
3/25/2021 15:56:30,CS,no,1,mu,ja,male,I have no idea what you are talking about,30-07-1999,NaN,no,42,5,2147483648,?,If you give me a 10,If you give my team a 10
3/25/2021 17:41:04,AI,yes,0,mu,ja,female,neither,08.03.1998,1,no,20,50,4,2,nice weather,having good food
3/26/2021 11:31:46,system security,no,1,sigma,ja,male,neither,13/1/95,0,no,20,30,5,??,weather,free day
3/26/2021 13:59:32,Quantitative Risk Management,yes,0,mu,nee,male,fat,28-07-1997,0,no,20,0,34612,1:30,Classical music,Data mining :-P
3/26/2021 14:30:47,Computational Science,no,0,sigma,nee,male,neither,"November 14, 1993",0,no,20,About 20 cents,7,12 a.m.,Making progress in a tough course,"Watching the game, smoking some bud"
3/26/2021 15:31:08,AI,no,0,mu,ja,male,neither,08-02-1997,0,no,99,1,6,01:45,Drum,Bass
3/26/2021 22:29:30,AI,no,0,mu,ja,male,neither,30-12,1,no,50,2,4,1am,Meeting a friend,Being productive
3/26/2021 23:46:34,Computational Science,no,0,mu,nee,male,fat,06-05,2,no,90,30,7,1am,Good coffe,Get motivated
3/27/2021 16:02:34,AI,yes,0,mu,nee,male,fat,15-04-1998,3,no,60,5,7,01:00,Start studying early,Finishing everything that I proposed for that day
3/27/2021 19:31:57,big data engineering ,no,1,mu,nee,male,neither,02-07-1977,4,unknown,75,500,7,12:00 PM,feel of achievement ,"go out, talk to people "
3/27/2021 20:59:51,MSc in Bioinformatics and Systems Biology,yes,0,mu,nee,female,neither,11/07/1997,0,no,50,10 euro,7,02:00 a.m.,relaxing and chill schedule,nice weather
3/27/2021 21:19:34,Human Language Technology,yes,0,mu,nee,female,neither,07-04-1998,2,no,20,5,23,2 am,sunny wheather outside,coronavirus restrictions lifted
3/28/2021 10:27:38,Artificial Intelligence,yes,0,mu,ja,female,fat,30-07-1997,0,no,10,10 cents,7,23:10,Socialize a bit,Tidy environment
3/28/2021 10:58:31,computational science,no,0,mu,nee,female,fat,April,0,yes,0,50,8,00:45,get up,food
3/28/2021 11:22:44,MSc Artificial Intelligence,no,0,mu,nee,female,neither,3-9-1966,0,no,70,5,7,11 pm,nice weather,surprising things happen
3/28/2021 12:40:57,QRM,yes,0,mu,ja,male,slim,13-08,0,yes,77,2.5,7,5,Food,Beer
3/28/2021 20:21:27,Master Business Analytics,yes,1,mu,ja,male,slim,06-01-1998,0,no,10,10,14,23:30,No stress,Doing sports
3/28/2021 21:38:59,Msc Artificial Intelligence,yes,unknown,mu,nee,female,neither,04-08-1995,0,no,40,12,4,13:00,food,sleep
3/28/2021 23:23:22,Computational Science,no,0,mu,ja,male,slim,1996-07-31,5,no,7,8,94678309602975980,huh?,Sleeping to a good movie,Food
3/29/2021 0:12:18,cs,no,0,mu,ja,male,fat,1 / 9/ 2020,10,yes,93,93,10,10,happy,very happy
3/29/2021 6:09:27,Computational Science,no,0,mu,nee,male,fat,11-11-1995,0,no,100,0,2,23,Good sleep,Good food
3/29/2021 6:39:25,CS,yes,0,mu,ja,female,fat,10-29-1997,0,no,50,30,14,01:23,Everything is under control.,Delicious food.
3/29/2021 8:32:53,AI Masters,yes,0,mu,ja,male,slim,01-12-1998,1,no,-2,0,3,23,Sun,Good weather
3/29/2021 9:41:50,Linguistics: Text Mining,yes,0,mu,nee,female,neither,13-02-1998,4,unknown,70,50,13,2 am,A productive study/work day,Inner peace
3/29/2021 10:09:42,Bioinformatics and Systems Biology,no,0,mu,nee,female,fat,04-11-1997,0,no,12,2,6.7,22:54,Nice wheather,Seeing my boyfriend
3/29/2021 10:29:23,BA,yes,1,mu,nee,male,neither,13-07-1999,0,no,30,1,6,23:30,Sunny weather,Coffee
3/29/2021 10:39:02,Master Bioinformatics & Systems Biology,yes,0,mu,nee,male,slim,20051989,1,no,30,100,1998,22,Enjoy the sun.,Share some laughts.
3/29/2021 10:49:15,Master in Computational Science,yes,1,mu,ja,male,fat,1996-12-28,0,no,90,20,0,0,sun,no rain
3/29/2021 11:00:34,Python,yes,0,mu,ja,male,fat,10/30/1997,0,no,70,50,8,00:30,laughing,working out
3/29/2021 11:16:17,Msc Econometrics and Operations Research,no,1,mu,nee,male,fat,26-1-1998,0,no,0,20,10,00:00,sunny weather,wake up happy
3/29/2021 11:19:21,Computational science,no,0,mu,ja,male,neither,11-11-1997,0:(,no,5,70,11,12:30,Sunshine,Friends
3/29/2021 11:22:24,Computational Science,yes,0,mu,ja,female,slim,21 nov,1,no,10,5,3,23:30,Meeting with friends,Coffee to go in corona times
3/29/2021 11:30:19,Computational Science,yes,0,sigma,ja,male,fat,July 18th,3,no,67,1,-518,22:45,Doing physical activities (games) with friends in a park on sunny day with some alcoholic beverages.,Winning a competitive korfbal match after putting in a good performance.
3/29/2021 11:39:25,rMA Human Language Technology,yes,0,mu,nee,female,I have no idea what you are talking about,14-08-1995,1,no,50,10,7,11PM,Take a walk in nature,Good chat with friends and drinks
3/29/2021 12:45:18,Human Language Technology (Research Master Linguistics),yes,0,mu,nee,female,neither,27-03-1999,0,no,40,5 euros,7,23:30,Sunshine,Good night's sleep
3/29/2021 13:05:02,Econometrics and Operations Research,yes,0,mu,nee,male,fat,"March 6, 1999",0,no,30,8,6,01:00,weather,girlfriend
3/29/2021 13:06:57,Econometrics & Data Science,yes,0,mu,nee,male,neither,08-04-1998,0,no,0,80,020,02:00,Being productive,Meeting friends
3/29/2021 13:16:49,MSc Artificial Intelligence,yes,0,mu,nee,male,fat,17-06-1994,0,no,20,18,53,23:30,sunshine,sport
3/29/2021 13:27:23,Econometrics and Operation Research,no,0,mu,ja,male,fat,14-1,2,no,50,10,41,11pm,good weather,having a good breakfast
3/29/2021 13:43:38,Econometrics & Operations Research,yes,0,mu,ja,male,neither,18-06-1996,0,no,12,0.5,47,11:45,Good food,Sex
3/29/2021 13:47:45,QRM,no,0,mu,nee,female,fat,8th of August,0,no,60,More,8,0.3,Getting all the work done that I've planned,Seeing my friends and family
3/29/2021 13:50:14,MSc Artificial Intelligence @UvA,yes,1,mu,ja,male,fat,04/04/1998,2,no,55,< 100,4,01:00,music,music
3/29/2021 13:53:03,Business Analytics,yes,1,mu,nee,male,I have no idea what you are talking about,24-06-1993,0,no,78,0,98374589398273479539792837298436928579320394,8,Saturday,Monday
3/29/2021 13:53:38,Artificial Intelligence,no,0,mu,nee,male,I have no idea what you are talking about,1-1-1997,0,no,1,100,1,2am,food,more food
3/29/2021 13:56:26,CS,yes,0,mu,nee,male,fat,16-11-1995,0,no,25,1,6,01:00,Family,Rice/Pasta for dinner
3/29/2021 14:01:59,Linguistics Text Mining ,yes,1,sigma,nee,female,I have no idea what you are talking about,September 19 ,0,no,90,50,9,22:00,sun ,exercise
3/29/2021 14:07:33,Econometrics,no,0,mu,nee,male,fat,25 June,2,no,70,20,5,11.3,Going out,not working
3/29/2021 14:16:20,EDS,yes,unknown,mu,ja,male,fat,16 November,0,no,12,1 euro,7,23:30,No stress,Holidays
3/29/2021 14:30:16,Econometrics,yes,0,mu,nee,male,neither,06-10-1998,0,unknown,31,"0,5",4,22:27,Sun,Sporting
3/29/2021 14:32:57,AI,no,0,mu,ja,female,neither,20-11-1999,0,no,35,10,10,02:30,Free time,Social activity
3/29/2021 14:35:19,AI,yes,1,mu,ja,female,fat,15-11-1998,0,no,80,€5,9,00:20,Getting everything done that needed to be done,Chilling in the sun
3/29/2021 14:40:38,AI,yes,0,mu,nee,female,neither,15-08,2,no,50,1,5,02:00,Seeing friends and family that I love,"Calmth, positivity, learning/reading"
3/29/2021 14:44:22,BA,yes,1,mu,ja,male,fat,1998,2,no,10,20,3,22:30,nice weather,walk on the beach
3/29/2021 14:49:24,Finance & Technology,yes,0,mu,nee,male,fat,28-01-1997,0,no,0,20,2,23,Soccer,Sun
3/29/2021 15:00:11,Bioinformatics and Systems Biology,yes,0,mu,ja,female,fat,03-02-1999,1,no,75,10,37,23:30,When I have seen/spoken to my loved ones,When I feel like my day has been productive but not too stresfull 
3/29/2021 15:03:24,Master Artificial Intelligence,no,0,mu,nee,male,fat,20-09-1992,0,no,100,1,938,5:25,Rest,Nothing
3/29/2021 15:04:18,Quantitative Risk Management ,no,0,unknown,nee,male,fat,16-05-1996,1,no,50,20,69,23:30,Efficiency,Accomplishment
3/29/2021 15:05:00,Quantitative Risk Management ,no,0,unknown,nee,male,fat,16-05-1996,1,no,50,20,69,23:30,Efficiency,Accomplishment
3/29/2021 15:05:38,Econometrics & Operation Research master,yes,1,mu,ja,male,neither,26-08,0,yes,60,30,7,22:30,8 hours of sleep,Friendly people
3/29/2021 15:09:54,QRM,no,0,mu,nee,male,fat,16-05-1996,1,no,50,20,7,23:30,Efficiency,Accomplishment
3/29/2021 15:35:37,CS,yes,0,mu,unknown,female,neither,05-10,1,no,20,15,6,03:00,swimming,beer
3/29/2021 15:41:09,M AI,yes,1,mu,ja,female,I have no idea what you are talking about,nunya,0,no,40,0,1,3:30,a good night's sleep,a relaxed morning
3/29/2021 16:23:33,OR,no,0,mu,nee,male,neither,09/09/1996,0,no,77,5,4,02:00,No work/free time,Beautiful weather
3/29/2021 16:35:14,Master Bioinformatics & Systems Biology,yes,0,mu,nee,male,neither,04/07,0,no,15,99,11,0,Fun activities,Good food
3/29/2021 16:35:49,Finance and technology,yes,0,mu,nee,male,fat,15-08-1994,0,no,60,20,8,2,Warm weather,enough food
3/29/2021 16:35:57,BA,yes,1,mu,ja,male,fat,27/10/1995,0,no,60,1000,7,23:00,Hanging out with friends,watching sports
3/29/2021 16:46:51,Econometrics & Operations Research,yes,0,mu,nee,male,neither,02-07-1998,0,no,38,enough to buy a 3-series,43,01:30,Good breakfast,Outdoor activity
3/29/2021 16:49:13,Climate econometrics,yes,0,mu,nee,female,neither,01/02/1993,0,no,30,10,4444,23:00,Walking in the sun,Eating good food
3/29/2021 16:51:39,CS,no,0,mu,unknown,male,slim,10-05-1999,1,no,5,1,5,3,sleep,people
3/29/2021 17:35:57,Duisenberg Honours: QRM,no,0,mu,nee,male,neither,22/09/1996,0,no,50,1,314,00h30,No Stress,Be able to relax
3/29/2021 17:47:11,BA,yes,0,mu,nee,male,fat,13-12-1994,0,no,35,10,7,0.3,If I completed all my tasks which I set for the day.,When I have spoken with/seen at least some friends or relatives that day. 
3/29/2021 17:56:51,AI,yes,0,mu,nee,male,neither,05-01-1998,0,no,0,100/n,5,2230,Sun,Food
3/29/2021 17:58:00,Medical Informatics,yes,1,mu,ja,male,fat,1996,0,no,10,5,0711,2300,sport,sun
3/29/2021 18:02:48,Master Artificial Intelligence,yes,1,mu,ja,male,neither,15/09/1999,0,no,10,1,6,1:00,No obligations,A good night of sleep
3/29/2021 18:21:02,Business analytics ,yes,0,mu,ja,female,fat,01-07-1998,1,no,40,50,75,22:30,A long walk outside,Getting things done
3/29/2021 19:01:05,Mathematics,yes,0,mu,ja,female,neither,30-07,0,no,60,10,7,23,Sun,Social contacts
3/29/2021 19:35:58,Business Analytics,yes,unknown,mu,ja,male,fat,22-10-1994,0,no,60,1,69,23:30,Sun,Tennis
3/29/2021 19:56:04,BA,yes,0,mu,ja,male,neither,23-02-1999,float(inf),unknown,99,101,2,To late,Payday,The day that I paid my rent and don't have a red valued bank account.
3/29/2021 19:57:32,Research Masters Human Language Technology,yes,0,sigma,ja,male,fat,06/10/1995,0,no,40,70,6,0:30,Nice weather and a run,Playing music with friends
3/29/2021 20:04:52,BA,yes,0,mu,unknown,female,fat,20-01-1997,2,no,80,50,8,23:40,weather ,Being with friends or family
3/29/2021 20:09:38,Finance and Technology,yes,unknown,unknown,nee,male,fat,03-12-1996,0,no,20,100/#participants,6,23:10,sports,good food
3/29/2021 20:33:29,Artificial intelligence,yes,0,mu,ja,male,fat,22.02.1996,0,unknown,10,20,1,23:00,Sun,Productivity
3/29/2021 20:53:49,BA,yes,0,mu,nee,male,slim,10-09-1998,0,no,5,0,9,00:00,Sport,Progress towards a goal
3/29/2021 21:09:39,Computational Sciences,no,0,mu,nee,male,neither,21-03-96,0,no,31,0,3,23:59,Sun,Fun
3/29/2021 21:16:04,Econometrics and data science ,yes,unknown,mu,nee,female,fat,02-06-1998,2,no,41,37,8679,23:30,Sunshine ,Good food
3/29/2021 21:23:01,Master in Computational Science,no,1,mu,ja,female,fat,26/03/1998,0,no,85,5,13,00:36,a nice meal,the sun
3/29/2021 21:30:30,BA,yes,0,mu,nee,female,neither,17 september 1996,2,no,60,60,7,23.15,Sun,Happy people/friends
3/29/2021 21:53:06,AI,no,0,mu,nee,female,neither,16-12-1992,0,no,85,5,9,03:00,Day off,Good company
3/29/2021 21:57:42,Computational Science,no,0,mu,nee,female,neither,18,0,no,70,50,7,12,sunny,enough sleep
3/29/2021 22:11:39,Artificial intelligence,no,0,mu,ja,male,fat,17-01-1996,3,no,70,100,00000,0.30 am,get a good grade,a sunny day
3/29/2021 22:17:34,Computational Science,no,0,mu,nee,male,neither,11-12-1994,0,unknown,45,10,96465121,22:15,Talking and being around friends and loved ones,When $GME goes up 69%      HODL ON
3/29/2021 22:39:12,AI,yes,1,mu,ja,male,I have no idea what you are talking about,27-01-1996,0,no,45,100,5,2,productivity,good food
3/29/2021 22:50:20,Msc AI,no,0,mu,nee,male,neither,17-09-1997,0,no,30,0,1,23:30,Good sleep,Meet friends
3/29/2021 22:58:34,AI,no,unknown,mu,nee,female,fat,04-04-98,0,no,65,1,10,1 am,No stressing about deadlines,Take a nice walk
3/29/2021 22:58:38,ai,no,0,mu,nee,male,fat,15/01/1996,1,no,25,50,8,3am,happy,productive
3/29/2021 23:02:41,Artificial Intelligence MSc,yes,1,mu,ja,male,neither,03/12/1997,0,unknown,35,70,3,1am,good rest,social
3/29/2021 23:03:17,BA,yes,0,mu,ja,female,fat,13-10-1998,0,no,66,I believe that the money should be split equally,7,00:30,Nice weather,Being with my friends
3/29/2021 23:24:53,AI,no,1,mu,ja,male,fat,1993,0,no,30,70,8,01:30,Low stresslevels,Hanging out with friends
3/29/2021 23:27:11,QRM,no,0,mu,nee,male,fat,08-10-1997,1,no,0,0,3417,02:00,Good food,Good mood
3/29/2021 23:32:18,Msc. Finance and Technology,yes,0,mu,nee,male,slim,17-jan-1996,0,no,50,25,5,03:00,Ice cream,No deadlines for the subsequent days
3/29/2021 23:41:02,Business Analytics,yes,0,mu,nee,male,neither,01-08,0,no,60,1,7,00:15,Enough sleep,Good food
3/29/2021 23:53:22,Econometrics,no,0,mu,nee,male,I have no idea what you are talking about,29-07-1997,0,no,21,0.22,5,22:55,"wake up early, be productive and relax with friends in evening",Learning something new
3/30/2021 2:59:37,CS,no,0,sigma,ja,male,neither,02.05.1999,5,no,75,0,7,4AM,no stress,good weather
3/30/2021 3:36:10,bioinformatics and system biology,yes,0,mu,ja,male,I have no idea what you are talking about,1998.7.7,1,no,65,0,45,5,1,2
3/30/2021 6:33:02,QRM,no,0,mu,ja,male,unknown,00/00/0000,0,no,20,0,9,7.30am,no exams or deadlines,plenty of sleep
3/30/2021 8:20:19,Bioinformatics and Systems Biology,yes,0,mu,nee,male,neither, ,0,no,80,1 euro,4,24,sunshine,music
3/30/2021 8:44:31,CS,yes,1,mu,ja,male,neither,27/07,1,no,17,65,17,22:45,odd jobs,sports
3/30/2021 9:16:58,Research Master Human Movement Sciences (FGB),no,0,mu,nee,female,neither,08-07-1993,1,no,10,0,8,23h15,sun,exercise
3/30/2021 9:20:47,computational science,no,0,mu,ja,male,fat,06-24,0,yes,50,60,7,1:00,no lecture,beautiful scenery
3/30/2021 9:22:43,Mathematics,no,0,mu,nee,female,fat,27 - 11 - 1995,0,no,67,2,7,22:45,tea,icecream
3/30/2021 9:30:43,BA,yes,1,mu,ja,unknown,slim,01-02-1997,0,no,50,1,69,0:00,sun,no deadlines
3/30/2021 9:30:59,Master Artificial Intelligence,yes,0,mu,nee,female,I have no idea what you are talking about,23/01/1998,1,no,55,0,114,23:00,Playing sports,Good food
3/30/2021 9:40:31,CS,no,1,mu,ja,male,fat,-,0,no,60,65,8,23:50,Free time,Being outside
3/30/2021 9:44:01,Master Finance & Technology,yes,0,mu,nee,female,fat,26-03-1999,0,no,60,2 euro,2,22:00,Sun,Success
3/30/2021 9:48:32,Artificial Intelligence,yes,1,sigma,ja,male,neither,01/12/1996,1,no,50,63,87,23;30,Good weather,No stress
3/30/2021 9:49:36,Master Information Studies UvA,yes,0,sigma,nee,male,neither,26/10/1990,0,no,75,7,2,23:45,sun,cycling
3/30/2021 10:00:00,Medical Informatics,yes,0,mu,nee,female,fat,01-06-1997,0,no,75,20,8,22:30,The sun shines,Meeting with friends
3/30/2021 10:07:28,Econometrics ,no,0,mu,nee,female,neither,02/01/1997,1,no,60,1,7,23:30,Good weather,Good sleep the prior day
3/30/2021 10:09:56,MSc Artificial Intelligence,yes,1,mu,nee,male,fat,26-01-1999,0,no,20,1,42,22:19,good night sleep,nice food
3/30/2021 10:13:11,AI,yes,1,mu,nee,male,unknown,5-7-1995,0,no,50,0.2,8,22:30,Sun,25 degrees celsius
3/30/2021 10:31:21,CS,no,0,mu,ja,female,neither,14/01/1996,0,no,77,70,3,23,coffee,fulfill the plan
3/30/2021 10:32:04,Msc Computer Science,yes,1,mu,ja,male,fat,28-08-1998,0,yes,30,100/n,3452326632,00:00,Sleeping well,Having a walk with my dog
3/30/2021 10:36:55,Honours master F&T,yes,0,sigma,nee,male,neither,28-12-1998,0,yes,10,5,21,23:54,Sun shining,Chatting with friends
3/30/2021 10:37:05,CS,yes,1,mu,ja,male,fat,28-08-1998,0,yes,30,10,2,00:00,Sleeping well,Having a walk with my dog
3/30/2021 10:39:11,Duisenberg Honours Programme in Finance and Technology,yes,1,mu,nee,male,fat,03/05/1995,1,no,15,10,14,23:30,Sun,Beer
3/30/2021 10:45:18,Master bioinformatics and systems biology,yes,0,unknown,nee,female,slim,08 may 1994,4,no,20,20,8,23:00,if the sun is shinning,Something adventurous took place
3/30/2021 10:49:39,Business Analytics ,yes,1,mu,ja,male,fat,01-03-1995,0,no,40,5,2,23:15,Good stock returns,Getting high grades back
3/30/2021 10:49:50,Business Analytics,yes,1,mu,ja,male,fat,17/12/1998,0,no,10,3,4,22:30,Zoom meeting,Teams meeting
3/30/2021 10:53:15,Business Analytics,yes,unknown,mu,ja,male,neither,27/08/1997,0,unknown,60,1 euro,3,21:00,Good weather,Exercise
3/30/2021 10:53:49,CLS,no,0,mu,ja,female,fat,19-04-1997,1,no,40,100,3,23,drinking cola zero,sunny weather
3/30/2021 10:55:13,Master Artificial Intelligence,no,0,mu,nee,male,neither,15/01/1996,0,no,70,5,5,00:15,Sun outside and no wind,Playing basketball
3/30/2021 10:55:42,AI,no,0,mu,nee,female,neither,29-09-1996,0,no,50,20,2,14,The sun,Friends
3/30/2021 10:55:44,CS,no,0,mu,nee,male,fat,01/01/0000,0,no,over 9000,110,9,1.30 am,pizza,sleeping in
3/30/2021 10:58:12,AI,yes,0,mu,nee,female,neither,11-12-1995,0,no,30,12,11,21:45,Sun,Good sleep
3/30/2021 10:58:32,Econometrics ,yes,0,mu,ja,female,I have no idea what you are talking about,05-06-1996,1,no,70,20,7,22:45,When the sun is shining ,Good night sleep 
3/30/2021 11:03:33,Computer Science,yes,1,mu,ja,male,unknown,23011999,3,no,32,99.99,4.554164846,23:39,A nice suprise,A feeling of contentness
3/30/2021 11:08:00,AI,yes,0,mu,ja,female,neither,03/08,1,no,40,70,3,23:30,when it's sunny,when I can enjoy nature
3/30/2021 11:09:42,Business Administration,no,0,mu,nee,male,fat,21-08-1998,3,no,10,10,8,22:00,Tasteful food,Good weather
3/30/2021 11:10:49,Artificial Intelligence Masters,yes,0,mu,nee,male,fat,october,1,no,80,10,8,1am,Sun,Beauty
3/30/2021 11:11:47,Msc AI,no,0,mu,ja,female,unknown,15-05,1,no,20,10,5,23:00,Sun,Smile
3/30/2021 11:28:20,"RM AI, RM Cognitive Neuropsychology",no,0,mu,nee,female,neither,22-05,1,no,0,70,5,23,fun,sun
3/30/2021 11:30:10,RMA Human Language Technology,yes,1,mu,nee,female,neither,11-11-1997,0,no,30,25,7,23.1,sunshine,love
3/30/2021 11:30:34,BA,yes,1,mu,ja,male,fat,25-07-1999,0,no,80,10,7,23:00,Doing well on study,Feyenoord winning a game
3/30/2021 11:31:11,Bioinformatics,yes,0,sigma,nee,female,slim,08-03-1997,1,no,0,"8,97",8,0.45,Sun,My dog
3/30/2021 11:36:30,Computational Sciences ,no,0,mu,unknown,male,neither,24/06/1999,0,no,20,1,7,23:30,Friends,Sport
3/30/2021 11:40:04,MSc Stochastics and Financial Mathematics,yes,0,mu,nee,female,fat,26.12.1996,2,yes,70,0,6,23,sun,free time
3/30/2021 11:41:42,AI (uva),yes,1,mu,nee,male,slim,25-07-1999,4,no,10,60,2,00:30,good night sleep,things to do
3/30/2021 11:49:20,Computational Science,no,1,mu,nee,male,fat,1997-9-27,0,no,70,80,7,2:00,Good weather,Good news
3/30/2021 11:52:45,MSc AI,no,1,mu,ja,male,fat,05-08-1995,0,no,30,5,968,1am,productivity,food
3/30/2021 11:54:04,AI,no,1,sigma,nee,female,fat,17-11-1997,0,no,50,5,8,23.59,When I see my friends,Delicious food
3/30/2021 11:54:41,AI,yes,0,mu,ja,female,neither,30-11-1993,3,no,10,20,8,01:15,coffee,sunny weather
3/30/2021 11:57:06,Econometrics ,no,unknown,mu,ja,male,unknown,3 Feb,2,unknown,80,get 100 to winner,35,1,Progress ,Happiness 
3/30/2021 11:58:45,Econometrics and data science,no,0,mu,ja,male,unknown,06/07/1993,0,no,25,depends on the number of entrants,92,2400,Friends,Fulfillment
3/30/2021 12:05:21,Masters of Artificial Intelligence,no,1,unknown,ja,male,neither,03-02-1998,0,no,80,50,69,23:10,Finishing a lot of work,Playing video games with friends
